hall,travel_time_min
Boulderklub Kreuzberg,2.7834450650749987
urban apes Basement Berlin,8.006167528941209
urban apes Fhain Berlin,9.736461076146831
Der Kegel,10.28857165545117
Bouldergarten,10.893406624080065
urban apes bright site Berlin,15.024119520247922
Ostbloc,19.111687500268957
Elektra,19.200343788125775
Berta Block,25.519695117616575
urban apes Berlin Wedding,26.111394055534532
Südbloc,26.881257555109446
